Direccion;Precio;Tipo_Adquicision;Habitaciones;Banios;Ciudad;Fecha
3031 S Ocean Blvd, Palm Beach, FL;;;;;Palm Beach;2023-12-28T09:13:00.596Z
607 S Moody Rd, Palatka, FL;;;;;Palatka;2024-01-08T22:04:05.537Z
2828 NW 1st Ave, Miami, FL;;;;;Miami;2024-04-10T14:12:39.519Z
2600 Lake Betty Blvd, Apopka, FL;;;;;Apopka;2024-04-02T07:57:47.919Z
8741 Grove Ter, Tampa, FL;;;;;Tampa;2024-01-12T22:23:41.880Z
10991 Lost Lake Dr, Naples, FL;;;;;Naples;2024-01-30T15:00:23.692Z
2575 University Pkwy, Sarasota, FL;;;;;Sarasota;2024-01-12T15:45:29.119Z
2400 Stirling Rd, Hollywood, FL;;;;;Hollywood;2024-03-08T11:04:03.322Z
4480 Foothill Dr, Kissimmee, FL;;;;;Kissimmee;2023-12-01T18:18:43.898Z
3111 S Dixie Hwy, West Palm Beach, FL;;;;;West Palm Beach;2023-12-06T06:03:01.250Z
800 Scenic Hwy, Pensacola, FL;;;;;Pensacola;2024-01-26T16:20:35.726Z
Lakeside 46, 1898 Merchants Row Blvd, Tallahassee, FL 32311;2650;ForRent;3;2;Tallahassee;2023-12-28T22:50:00.936Z
2165 Van Buren St, Hollywood, FL;;;;;Hollywood;2023-12-02T20:11:22.306Z
11050 Le Jardin Cir, Tampa, FL;;;;;Tampa;2024-01-13T15:02:38.695Z
5255 Images Cir, Kissimmee, FL;;;;;Kissimmee;2023-11-03T16:01:23.272Z
1632 N Federal Hwy, Boynton Beach, FL;;;;;Boynton Beach;2023-11-01T16:19:51.699Z
7502 Sun Key Blvd, Winter Park, FL;;;;;Winter Park;2024-01-25T15:38:21.277Z
8859 Old Kings Rd S, Jacksonville, FL;;;;;Jacksonville;2023-10-12T06:03:41.718Z
301 Harbour Place Dr, Tampa, FL;;;;;Tampa;2024-01-12T11:36:07.422Z
3550 Esplanade Way, Tallahassee, FL;;;;;Tallahassee;2023-10-27T10:54:24.812Z
4060 Barnes Rd S, Jacksonville, FL;;;;;Jacksonville;2023-10-18T04:44:36.442Z
50 Palma Vista Way, Saint Augustine, FL;;;;;Saint Augustine;2024-02-17T20:07:04.581Z
4822 Cason Cove Dr, Orlando, FL;;;;;Orlando;2023-10-14T15:09:31.845Z
2520 S Conway Rd, Orlando, FL;;;;;Orlando;2024-02-15T22:32:49.630Z
286 NW 29th St, Miami, FL;;;;;Miami;2024-03-26T23:08:08.313Z
5620 Tranquility Oaks Dr, Tampa, FL;;;;;Tampa;2023-12-27T13:10:59.421Z
3700 Windmeadows Blvd, Gainesville, FL;;;;;Gainesville;2023-10-24T01:28:05.149Z
2535 Jammes Rd, Jacksonville, FL;;;;;Jacksonville;2023-12-05T10:23:23.529Z
334 2nd Ave S, Saint Petersburg, FL;;;;;Saint Petersburg;2023-12-09T22:57:25.347Z
2801 Biltmore Park Dr, Orlando, FL;;;;;Orlando;2023-10-27T10:03:04.516Z
8451 Gate Pkwy, Jacksonville, FL;;;;;Jacksonville;2023-11-03T11:09:44.029Z
7011 Homestead Loop, Wildwood, FL;;;;;Wildwood;2023-10-14T10:20:14.511Z
2798 Saint Johns Ave, Jacksonville, FL;;;;;Jacksonville;2023-12-24T14:45:39.012Z
River Rock Apartments, 11301 N 53rd St, Tampa, FL 33617;1733;ForRent;2;2;Tampa;2023-11-28T22:10:03.312Z
8511 Myslak Way, Pensacola, FL;;;;;Pensacola;2024-03-22T13:42:43.719Z
1500 S Lake Blvd, Avon Park, FL;;;;;Avon Park;2023-12-04T08:54:07.953Z
50 Olive Tree Cir, West Palm Beach, FL;;;;;West Palm Beach;2023-11-19T03:28:06.094Z
1931 W 16th Ct, West Palm Beach, FL;;;;;West Palm Beach;2024-01-13T12:10:55.581Z
10880 Angelfish Way, Jacksonville, FL;;;;;Jacksonville;2024-01-27T21:43:18.418Z
6750 Woodlake Dr, Orlando, FL;;;;;Orlando;2024-02-11T13:25:57.081Z
5601 California Ave, Jacksonville, FL;;;;;Jacksonville;2023-12-31T11:05:33.254Z
3101 Emerald Pointe Dr, Hollywood, FL;;;;;Hollywood;2023-12-30T07:50:14.856Z
698 NE 1st Ave, Miami, FL;;;;;Miami;2024-01-31T07:23:39.332Z
875 Derbyshire Rd, Daytona Beach, FL;;;;;Daytona Beach;2024-01-28T23:23:48.897Z
10200 Falcon Pine Blvd, Orlando, FL;;;;;Orlando;2024-01-03T02:39:35.827Z
7400 SW 13th Rd, Gainesville, FL;;;;;Gainesville;2024-03-12T12:30:50.320Z
5971 Toscana Dr, Fort Lauderdale, FL;;;;;Fort Lauderdale;2023-10-25T08:16:57.024Z
1000 Integra Woods Blvd, Palm Coast, FL;;;;;Palm Coast;2024-02-10T02:11:05.092Z
2220 Gloria Cir, Pensacola, FL;;;;;Pensacola;2023-10-18T19:06:24.595Z
6308 Panther Ln, Fort Myers, FL;;;;;Fort Myers;2024-02-22T18:17:42.767Z
1700 State Rd, Pompano Beach, FL;;;;;Pompano Beach;2024-01-13T12:04:59.849Z
11109 Vida Cir, Bradenton, FL;;;;;Bradenton;2024-01-13T19:33:20.537Z
1211 Goldfinch Dr, Plant City, FL;;;;;Plant City;2024-01-13T17:34:33.124Z
3909 Reserve Dr, Tallahassee, FL;;;;;Tallahassee;2024-03-02T10:49:31.330Z
907 Tidewater Ln, Longwood, FL;;;;;Longwood;2023-11-14T10:14:17.137Z
12517 Beach Blvd, Jacksonville, FL;;;;;Jacksonville;2023-10-13T11:42:11.348Z
2729 Seville Blvd, Clearwater, FL;;;;;Clearwater;2023-12-02T18:24:40.807Z
3151 S Babcock St, Melbourne, FL;;;;;Melbourne;2023-11-24T12:57:36.397Z
545 Nantucket Ct, Altamonte Springs, FL;;;;;Altamonte Springs;2023-10-15T23:43:36.487Z
7110 London St, Panama City Beach, FL;;;;;Panama City Beach;2023-10-28T20:49:19.177Z
4465 Preserve Dr, Melbourne, FL;;;;;Melbourne;2024-01-13T01:10:13.977Z
7595 Baymeadows Cir W, Jacksonville, FL;;;;;Jacksonville;2024-03-30T18:40:38.612Z
501 Blairstone Rd, Tallahassee, FL;;;;;Tallahassee;2023-11-27T21:58:24.673Z
